date,precip,t2m,rh2m,wind,rad,ps
1984-04-12,0.0,20.73,25.89,2.74,26.56,83.35
1984-04-13,0.0,20.75,26.06,3.11,26.33,83.36
1984-04-14,0.0,21.3,26.15,2.65,26.17,83.37
1984-04-15,0.0,21.08,31.06,3.13,27.29,83.38
1984-04-16,0.0,20.9,33.68,1.88,27.45,83.45
1984-04-17,0.0,21.8,38.7,2.6,25.32,83.54
1984-04-18,0.0,21.97,43.06,3.2,21.82,83.64
1984-04-19,0.0,22.68,32.59,2.73,26.8,83.52
1984-04-20,0.0,21.1,31.18,3.42,27.25,83.37
1984-04-21,0.0,21.73,28.01,2.92,22.56,83.38
1984-04-22,0.0,22.83,30.12,2.41,22.75,83.38
1984-04-23,0.0,24.19,32.86,2.43,26.05,83.34
1984-04-24,0.0,23.36,35.83,2.46,27.13,83.43
1984-04-25,0.0,22.97,36.11,3.68,27.33,83.42
1984-04-26,0.0,23.13,36.6,3.58,24.65,83.39
1984-04-27,0.0,23.59,33.88,3.02,25.71,83.45
1984-04-28,0.0,24.12,33.74,3.02,23.08,83.53
1984-04-29,0.0,24.01,38.03,2.97,25.23,83.56
1984-04-30,0.0,25.04,32.57,2.45,23.5,83.56
1984-05-01,0.0,24.46,35.19,2.82,26.24,83.61
1984-05-02,0.0,24.1,34.66,3.52,25.01,83.53
1984-05-03,0.0,23.7,27.63,3.01,26.26,83.38
1984-05-04,0.06,23.34,20.14,2.36,24.54,83.31
1984-05-05,0.0,23.57,21.29,2.74,22.88,83.33
1984-05-06,0.01,23.6,28.75,2.63,20.73,83.44
1984-05-07,0.0,24.31,30.21,2.62,20.58,83.52
1984-05-08,2.76,24.47,36.03,4.23,20.37,83.6
1984-05-09,1.88,22.72,42.85,3.68,23.82,83.72
1984-05-10,3.4,22.46,44.86,3.27,23.79,83.55
1984-05-11,1.05,22.18,53.96,2.22,17.1,83.51
1984-05-12,3.17,19.26,61.17,1.89,20.17,83.6
1984-05-13,1.63,19.49,56.74,1.3,20.03,83.61
1984-05-14,0.96,20.69,52.03,3.44,20.06,83.44
1984-05-15,0.06,21.15,49.11,2.93,26.21,83.39
1984-05-16,0.0,21.11,42.74,3.0,25.41,83.44
1984-05-17,0.02,21.81,40.62,2.11,23.59,83.52
1984-05-18,0.04,22.69,38.11,2.49,23.61,83.62
1984-05-19,0.33,23.16,34.92,3.27,24.89,83.59
1984-05-20,0.01,22.43,31.96,3.58,25.83,83.44
1984-05-21,0.0,22.42,29.78,2.84,26.76,83.34
1984-05-22,0.12,23.3,28.65,1.38,25.32,83.48
1984-05-23,1.52,24.57,37.89,1.89,23.91,83.59
1984-05-24,1.14,24.57,43.0,1.91,25.87,83.53
1984-05-25,3.27,24.04,48.29,2.03,21.02,83.34
1984-05-26,2.24,23.72,54.87,1.14,22.85,83.28
1984-05-27,1.56,24.17,52.25,1.74,22.91,83.39
1984-05-28,0.16,23.99,50.38,2.73,22.34,83.49
1984-05-29,0.0,21.6,45.41,8.08,21.46,83.66
1984-05-30,0.01,21.41,46.37,6.8,28.83,83.62
1984-05-31,0.03,21.81,37.85,4.01,26.78,83.56
1984-06-01,7.12,23.03,44.72,2.46,20.51,83.53
1984-06-02,1.42,23.5,52.38,2.61,24.23,83.6
1984-06-03,0.22,22.54,52.28,2.93,23.03,83.49
1984-06-04,0.35,22.69,47.85,3.05,23.66,83.34
1984-06-05,0.24,22.77,47.24,2.67,24.19,83.34
1984-06-06,7.54,23.02,48.83,2.14,27.45,83.48
1984-06-07,6.29,22.64,53.65,2.06,24.52,83.59
1984-06-08,3.46,22.96,56.13,2.38,24.96,83.51
1984-06-09,13.48,21.86,67.94,2.64,23.75,83.39
1984-06-10,10.42,21.49,69.48,1.69,20.44,83.37
1984-06-11,14.67,20.89,73.6,2.41,22.94,83.38
1984-06-12,10.15,19.24,83.09,1.89,19.99,83.39
1984-06-13,11.82,21.08,72.68,1.55,17.97,83.42
1984-06-14,6.64,22.11,67.7,2.98,15.68,83.42
1984-06-15,4.28,21.72,68.81,2.49,18.09,83.5
1984-06-16,11.14,20.78,74.13,2.76,20.1,83.53
1984-06-17,9.03,19.73,78.29,1.64,19.67,83.52
1984-06-18,17.13,20.83,75.67,1.97,19.3,83.42
1984-06-19,11.64,19.83,80.45,2.32,20.24,83.5
1984-06-20,11.73,19.35,79.8,1.68,19.57,83.62
1984-06-21,23.55,19.91,80.21,1.78,18.74,83.58
1984-06-22,5.86,19.23,78.33,2.12,19.2,83.57
1984-06-23,6.49,19.39,74.52,1.6,18.35,83.62
1984-06-24,3.8,19.47,78.01,1.49,22.97,83.73
1984-06-25,1.38,21.3,67.87,2.31,23.89,83.68
1984-06-26,4.39,20.62,70.76,1.97,15.07,83.56
1984-06-27,3.65,20.63,74.29,1.84,21.21,83.52
1984-06-28,2.55,19.13,82.64,1.96,22.55,83.68
1984-06-29,15.94,19.62,81.53,1.62,20.6,83.66
1984-06-30,13.03,19.71,81.34,1.87,20.19,83.51
1984-07-01,13.81,19.68,80.74,2.13,16.04,83.42
1984-07-02,10.72,18.87,81.94,2.49,16.19,83.49
1984-07-03,4.54,17.88,85.77,2.19,13.36,83.62
1984-07-04,2.92,17.92,83.1,2.78,6.74,83.55
1984-07-05,1.9,18.18,85.3,2.17,15.04,83.41
1984-07-06,20.65,18.76,85.01,2.77,12.78,83.4
1984-07-07,1.59,19.45,80.71,2.58,18.86,83.44
1984-07-08,6.93,17.78,82.85,3.0,25.26,83.55
1984-07-09,7.74,19.01,81.22,2.77,10.56,83.47
1984-07-10,22.9,18.3,85.69,3.91,4.53,83.55
1984-07-11,17.88,18.3,84.53,2.44,12.58,83.47
1984-07-12,5.95,18.51,83.76,1.69,17.59,83.26
1984-07-13,22.78,18.22,81.86,1.87,10.29,83.43
1984-07-14,11.7,18.26,83.48,2.85,12.93,83.69
1984-07-15,5.02,18.53,79.88,2.43,23.65,83.79
1984-07-16,9.07,18.76,81.24,2.05,16.12,83.66
1984-07-17,3.3,19.22,71.4,0.81,18.27,83.6
1984-07-18,2.19,18.86,75.22,1.6,22.72,83.66
1984-07-19,2.79,18.88,80.96,1.27,18.46,83.75
1984-07-20,3.22,20.15,75.4,1.37,22.6,83.62
1984-07-21,2.0,19.95,77.79,2.22,16.46,83.55
1984-07-22,2.59,18.98,83.45,1.48,20.98,83.58
1984-07-23,7.04,19.84,77.85,1.75,20.75,83.54
1984-07-24,4.61,18.9,78.17,2.33,20.61,83.56
1984-07-25,7.73,17.5,88.0,2.08,20.68,83.59
1984-07-26,7.19,18.76,81.12,2.4,19.6,83.63
1984-07-27,0.83,19.2,79.81,2.39,21.61,83.63
1984-07-28,2.46,20.13,75.52,2.15,16.87,83.59
1984-07-29,1.49,20.29,73.92,2.36,13.29,83.58
1984-07-30,2.63,19.77,75.24,2.94,25.19,83.47
1984-07-31,1.89,19.05,76.16,2.6,24.84,83.47
1984-08-01,1.24,19.42,77.76,2.18,15.66,83.53
1984-08-02,1.53,21.13,69.0,2.04,25.39,83.6
1984-08-03,1.82,20.68,73.64,2.61,26.83,83.51
1984-08-04,9.29,19.54,78.6,2.91,23.01,83.4
1984-08-05,4.38,19.5,80.34,2.6,25.89,83.5
1984-08-06,1.44,18.48,83.47,3.19,13.2,83.64
1984-08-07,8.26,18.83,79.68,1.63,18.85,83.65
1984-08-08,10.1,18.6,88.56,1.75,17.73,83.49
1984-08-09,20.34,18.93,84.97,2.56,17.73,83.5
1984-08-10,8.82,18.86,80.22,1.66,20.09,83.56
1984-08-11,0.68,18.19,84.29,2.74,12.43,83.54
1984-08-12,3.38,19.57,78.01,1.99,22.45,83.61
1984-08-13,9.04,19.96,78.49,1.47,23.18,83.58
1984-08-14,8.65,19.43,78.35,2.04,23.05,83.6
1984-08-15,6.74,17.08,89.13,2.6,20.33,83.69
1984-08-16,1.07,18.05,81.14,2.73,11.76,83.73
1984-08-17,6.04,18.91,77.51,1.77,11.78,83.74
1984-08-18,1.51,19.46,80.1,1.08,23.07,83.66
1984-08-19,1.52,19.12,85.9,1.33,16.08,83.53
1984-08-20,2.5,20.2,77.6,1.32,21.73,83.45
1984-08-21,2.72,19.92,77.37,1.27,19.37,83.49
1984-08-22,9.81,19.4,78.61,2.13,17.57,83.62
1984-08-23,8.63,19.43,80.85,2.07,18.39,83.54
1984-08-24,5.57,19.79,78.97,1.71,20.46,83.5
1984-08-25,7.02,19.33,78.17,2.46,22.6,83.57
1984-08-26,4.42,18.95,77.7,2.74,20.07,83.67
1984-08-27,7.05,18.88,79.05,2.16,18.06,83.65
1984-08-28,2.01,19.75,78.7,2.24,16.56,83.61
1984-08-29,2.83,19.99,76.69,2.32,23.32,83.64
1984-08-30,2.11,20.15,70.18,1.86,24.73,83.59
1984-08-31,5.03,17.83,75.85,2.32,23.02,83.57
1984-09-01,6.19,17.52,76.28,1.89,21.45,83.56
1984-09-02,6.72,18.94,77.58,1.36,21.36,83.54
1984-09-03,4.43,19.6,79.32,1.92,25.81,83.43
1984-09-04,16.2,19.21,85.29,2.82,19.27,83.37
1984-09-05,5.41,17.96,85.43,4.46,10.26,83.45
1984-09-06,5.67,17.84,86.31,3.88,9.07,83.47
1984-09-07,12.89,18.76,83.99,1.34,19.78,83.54
1984-09-08,20.1,18.94,86.32,2.0,17.36,83.58
1984-09-09,3.34,19.26,85.86,2.07,18.76,83.45
1984-09-10,1.17,17.37,85.26,3.48,10.48,83.29
1984-09-11,3.8,16.6,86.42,2.9,10.26,83.3
1984-09-12,1.18,17.35,86.47,3.02,16.22,83.36
1984-09-13,4.5,17.94,82.1,3.83,12.22,83.41
1984-09-14,3.34,17.32,88.29,2.71,10.35,83.3
1984-09-15,0.56,18.23,84.3,2.88,10.79,83.28
1984-09-16,0.84,17.78,75.57,4.65,17.48,83.35
1984-09-17,1.84,17.82,78.76,3.4,23.92,83.49
1984-09-18,1.25,18.12,79.6,2.97,22.06,83.61
1984-09-19,0.85,17.7,82.34,2.59,17.26,83.52
1984-09-20,2.74,17.88,80.81,1.64,10.44,83.19
1984-09-21,20.3,17.53,86.09,1.72,21.66,83.02
1984-09-22,2.76,19.03,83.73,1.34,14.96,83.14
1984-09-23,0.72,19.08,83.09,2.75,17.4,83.34
1984-09-24,0.27,19.77,76.87,1.55,18.91,83.41
1984-09-25,0.07,19.27,78.92,2.99,22.8,83.35
1984-09-26,0.35,19.28,75.07,4.41,22.64,83.45
1984-09-27,6.39,17.55,75.81,4.31,22.42,83.62
1984-09-28,1.6,17.59,73.77,2.97,22.65,83.65
1984-09-29,4.11,17.4,77.88,2.57,21.94,83.7
1984-09-30,6.0,17.84,80.48,2.43,18.12,83.79
1984-10-01,1.68,17.01,82.25,1.85,16.48,83.86
1984-10-02,0.28,18.04,79.15,2.13,21.35,83.82
1984-10-03,0.34,19.18,76.73,1.71,20.43,83.71
1984-10-04,0.09,19.06,74.38,1.57,22.7,83.59
1984-10-05,0.22,19.09,76.66,1.49,21.25,83.64
1984-10-06,3.87,18.92,80.26,1.26,19.83,83.71
1984-10-07,1.64,20.06,74.57,1.49,21.92,83.81
1984-10-08,2.63,19.7,74.15,1.57,17.66,83.71
1984-10-09,0.81,18.9,78.57,1.22,18.19,83.56
1984-10-10,4.81,18.58,79.3,1.2,16.92,83.6
1984-10-11,0.42,17.73,79.52,1.82,14.9,83.72
1984-10-12,0.01,17.78,80.08,1.8,17.71,83.76
1984-10-13,0.0,18.41,74.41,1.37,18.11,83.62
1984-10-14,0.07,18.15,74.75,2.04,16.0,83.43
1984-10-15,0.03,17.78,75.79,2.18,19.15,83.4
1984-10-16,0.01,18.4,74.24,1.65,21.13,83.5
1984-10-17,0.0,19.51,70.2,1.62,22.27,83.65
1984-10-18,0.0,20.28,69.05,1.91,21.13,83.63
1984-10-19,0.0,19.43,75.8,1.65,21.71,83.51
1984-10-20,0.0,19.03,74.99,2.33,20.83,83.46
1984-10-21,0.24,18.62,73.44,2.01,20.1,83.51
1984-10-22,0.57,18.95,66.58,1.6,20.67,83.54
1984-10-23,1.49,18.13,73.73,1.69,18.46,83.55
1984-10-24,3.51,18.22,72.19,1.49,17.88,83.48
1984-10-25,0.02,16.68,74.59,1.98,15.5,83.59
1984-10-26,0.09,17.9,71.99,2.01,12.99,83.64
1984-10-27,0.03,18.41,74.08,1.69,14.0,83.49
1984-10-28,0.35,18.92,75.04,1.2,18.69,83.54
1984-10-29,0.24,19.79,69.65,1.67,17.96,83.55
1984-10-30,0.91,19.19,71.34,2.93,20.28,83.51
1984-10-31,0.22,19.11,70.42,2.51,16.94,83.51
1984-11-01,0.04,20.3,67.43,1.75,17.8,83.62
1984-11-02,0.07,19.01,66.02,2.84,18.12,83.67
1984-11-03,0.01,17.45,72.38,2.29,19.07,83.51
1984-11-04,0.0,18.02,73.02,2.56,19.67,83.49
1984-11-05,0.0,16.14,55.27,4.6,20.36,83.68
1984-11-06,0.0,15.83,54.66,2.81,20.33,83.76
1984-11-07,0.0,16.45,62.37,1.96,20.31,83.78
1984-11-08,0.0,17.85,59.09,1.46,20.24,83.83
1984-11-09,0.0,17.55,59.61,1.88,20.16,83.72
1984-11-10,0.0,18.3,57.18,1.94,20.04,83.62
1984-11-11,0.0,17.42,62.15,2.9,19.9,83.72
1984-11-12,0.0,17.04,58.62,2.24,19.41,83.79
1984-11-13,0.0,16.53,58.95,2.5,19.85,83.91
1984-11-14,0.0,16.72,64.27,2.05,18.7,83.86
1984-11-15,0.0,18.04,59.28,1.33,19.14,83.72
1984-11-16,0.0,17.11,61.1,2.1,19.58,83.67
1984-11-17,0.0,16.88,72.24,2.49,17.55,83.63
1984-11-18,0.0,16.03,63.86,2.12,19.46,83.45
1984-11-19,0.0,15.63,61.73,2.15,18.4,83.48
1984-11-20,0.0,15.41,61.15,2.61,19.02,83.6
1984-11-21,0.0,15.06,58.5,3.26,18.96,83.82
1984-11-22,0.0,14.0,60.47,3.54,17.56,83.94
1984-11-23,0.01,14.71,64.0,2.75,14.96,83.76
1984-11-24,0.01,15.84,73.8,3.08,12.05,83.67
1984-11-25,0.0,16.07,63.61,1.9,16.73,83.57
1984-11-26,0.0,17.0,47.49,2.24,19.5,83.45
1984-11-27,0.0,17.27,44.78,1.29,19.18,83.63
1984-11-28,0.28,15.02,65.02,2.76,16.75,83.72
1984-11-29,0.08,16.79,65.41,2.44,17.03,83.54
1984-11-30,0.52,16.37,66.72,1.61,17.32,83.5
1984-12-01,0.19,16.53,67.24,2.03,16.79,83.55
1984-12-02,0.68,16.93,65.07,1.72,14.77,83.59
1984-12-03,0.0,17.33,61.16,2.24,13.89,83.63
1984-12-04,0.0,16.82,64.63,2.32,17.49,83.64
1984-12-05,0.0,17.02,58.29,1.43,17.55,83.62
1984-12-06,0.0,16.25,60.46,4.65,16.22,83.89
1984-12-07,0.0,14.15,56.41,4.58,18.53,83.95
1984-12-08,0.0,15.63,56.55,2.35,16.8,83.83
1984-12-09,0.0,16.06,50.5,2.84,17.76,83.75
1984-12-10,0.0,14.99,44.65,2.45,17.82,83.65
1984-12-11,0.11,15.59,56.86,1.77,16.94,83.58
1984-12-12,2.12,15.42,74.13,2.93,13.12,83.36
1984-12-13,2.7,13.51,77.9,3.43,13.75,83.18
1984-12-14,1.3,14.15,73.89,2.53,5.03,83.34
1984-12-15,0.0,15.23,66.82,1.73,16.35,83.5
1984-12-16,0.0,15.97,62.85,2.28,17.03,83.55
1984-12-17,0.0,17.54,64.98,2.4,17.82,83.56
1984-12-18,0.0,16.47,63.71,2.3,18.35,83.62
1984-12-19,0.0,16.01,57.88,2.53,18.57,83.61
1984-12-20,0.0,15.43,65.55,2.36,18.73,83.52
